UTM_E,UTM_N,dateCreated,observerInitials,site_id,percentCover,phenology,,,,,,,,
525706,4269586,4/2/2014,CD,MUST06,NA,bolt/flr,,,,,,,,
525716,4270066,5/14/2014,MH,CRIM01,<1,flr,,,,,,,,
525298,4269525,5/17/2012,MH,DAC01,5,Flr,,,,,,,,
526870.9,4269526.5,10/4/2012,JC,DIGR01,100,FLR,,,,,,,,
525180,4269532,5/15/2012,MH,GOAT01,15,Flr,,,,,,,,
524933,4269618,5/15/2012,MH,GOAT04,5,Flr,,,,,,,,
524916,4269629,5/23/2014,CD,GOAT04B,1,Flr,,,,,,,,
524907,4269639,5/23/2014,CD,GOAT04C,1,Flr,,,,,,,,
525111,4269601,5/15/2012,MH,GOAT05,1,Flr,,,,,,,,
525104,4269619,5/15/2012,MH,GOAT06,5,Flr,,,,,,,,
525092,4269617,5/7/2014,CD,GOAT06B,5,Flr,,,,,,,,
525074,4269624,5/15/2012,MH,GOAT07,5,Flr,,,,,,,,
525087,4269624,5/7/2014,CD,GOAT07B,5,Flr,,,,,,,,
524944,4269634,5/15/2012,MH,GOAT08,10,Flr,,,,,,,,
524891,4269635,5/15/2012,MH,GOAT09,5,Flr,,,,,,,,
524861,4269637,5/15/2012,MH,GOAT10,10,Flr,,,,,,,,
524885,4269640,5/23/2014,CD,GOAT10B,15,Flr,,,,,,,,
524861,4269689,5/15/2012,MH,GOAT11,5,Flr,,,,,,,,
524845,4269690,5/15/2012,MH,GOAT12,5,Flr,,,,,,,,
524808,4269643,5/15/2012,MH,GOAT13,20,Flr,,,,,,,,
524823,4269648,5/23/2014,CD,GOAT13B,1,Flr,,,,,,,,
524874,4269592,5/15/2012,MH,GOAT14,1,Flr,,,,,,,,
524893,4269581,5/15/2012,MH,GOAT15,10,Flr,,,,,,,,
524851,4269678,5/15/2012,MH,GOAT16,5,Flr,,,,,,,,
526816,4269110,5/16/2014,CD,GOAT29A,20,FLR,,,,,,,,
526849,4269122,5/16/2014,CD,GOAT29B,1,FLR,,,,,,,,
526201,4269487,5/7/2014,CD,GOAT30,50,FLR,,,,,,,,
