Date,Sampler,Burn_Timing,UTME,UTMN,ELYCAP,DANCAL,STIPUL,Comment
5/17/2017,MHalbur,Pretreatment,525400,4270440,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525410,4270440,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525420,4270440,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525430,4270440,5,0,0,NA
5/17/2017,MHalbur,Pretreatment,525370,4270430,3,0,3,NA
5/17/2017,MHalbur,Pretreatment,525380,4270430,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525390,4270430,5,0,0,NA
5/17/2017,MHalbur,Pretreatment,525400,4270430,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525410,4270430,5,0,0,NA
5/17/2017,MHalbur,Pretreatment,525420,4270430,5,0,1,NA
5/17/2017,MHalbur,Pretreatment,525430,4270430,3,0,2,NA
5/17/2017,MHalbur,Pretreatment,525440,4270430,2,0,3,NA
5/17/2017,MHalbur,Pretreatment,525360,4270420,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525370,4270420,1,2,0,NA
5/17/2017,MHalbur,Pretreatment,525380,4270420,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525390,4270420,4,0,2,NA
5/17/2017,MHalbur,Pretreatment,525400,4270420,5,0,1,NA
5/17/2017,MHalbur,Pretreatment,525410,4270420,6,0,0,NA
5/17/2017,MHalbur,Pretreatment,525420,4270420,5,0,0,NA
5/17/2017,MHalbur,Pretreatment,525430,4270420,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525440,4270420,1,0,0,NA
5/17/2017,MHalbur,Pretreatment,525340,4270410,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525350,4270410,2,2,0,NA
5/17/2017,MHalbur,Pretreatment,525360,4270410,2,2,0,NA
5/17/2017,MHalbur,Pretreatment,525370,4270410,2,1,1,NA
5/17/2017,MHalbur,Pretreatment,525380,4270410,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525390,4270410,5,0,0,NA
5/17/2017,MHalbur,Pretreatment,525400,4270410,5,0,0,NA
5/17/2017,MHalbur,Pretreatment,525410,4270410,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525420,4270410,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525430,4270410,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525440,4270410,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525150,4270400,2,0,0,NA
5/18/2017,MHalbur,Pretreatment,525160,4270400,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525310,4270400,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525320,4270400,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525330,4270400,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525340,4270400,2,1,0,NA
5/17/2017,MHalbur,Pretreatment,525350,4270400,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525360,4270400,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525370,4270400,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525380,4270400,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525390,4270400,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525400,4270400,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525410,4270400,5,0,0,NA
5/17/2017,MHalbur,Pretreatment,525420,4270400,3,1,0,NA
5/17/2017,MHalbur,Pretreatment,525430,4270400,1,0,0,NA
5/17/2017,MHalbur,Pretreatment,525440,4270400,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525030,4270390,2,0,1,NA
5/18/2017,MHalbur,Pretreatment,525040,4270390,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525050,4270390,6,0,0,NA
5/18/2017,MHalbur,Pretreatment,525060,4270390,4,0,1,NA
5/18/2017,MHalbur,Pretreatment,525070,4270390,1,0,2,NA
5/18/2017,MHalbur,Pretreatment,525080,4270390,1,0,1,NA
5/18/2017,MHalbur,Pretreatment,525090,4270390,1,0,1,NA
5/18/2017,MHalbur,Pretreatment,525100,4270390,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525110,4270390,0,0,1,NA
5/18/2017,MHalbur,Pretreatment,525120,4270390,0,0,0,NA
5/18/2017,MHalbur,Pretreatment,525130,4270390,3,0,0,NA
5/18/2017,MHalbur,Pretreatment,525140,4270390,5,0,0,NA
5/18/2017,MHalbur,Pretreatment,525150,4270390,2,0,0,NA
5/18/2017,MHalbur,Pretreatment,525160,4270390,3,0,0,NA
5/18/2017,MHalbur,Pretreatment,525170,4270390,3,0,1,NA
5/18/2017,MHalbur,Pretreatment,525180,4270390,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525270,4270390,2,0,1,NA
5/17/2017,MHalbur,Pretreatment,525280,4270390,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525290,4270390,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525300,4270390,1,0,0,NA
5/17/2017,MHalbur,Pretreatment,525310,4270390,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525320,4270390,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525330,4270390,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525340,4270390,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525350,4270390,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525360,4270390,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525370,4270390,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525380,4270390,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525390,4270390,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525400,4270390,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525410,4270390,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525420,4270390,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525430,4270390,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525440,4270390,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525030,4270380,4,0,0,NA
5/18/2017,MHalbur,Pretreatment,525040,4270380,0,0,1,NA
5/18/2017,MHalbur,Pretreatment,525050,4270380,0,0,1,NA
5/18/2017,MHalbur,Pretreatment,525060,4270380,2,0,0,NA
5/18/2017,MHalbur,Pretreatment,525070,4270380,0,0,0,NA
5/18/2017,MHalbur,Pretreatment,525080,4270380,2,0,1,NA
5/18/2017,MHalbur,Pretreatment,525090,4270380,3,0,2,NA
5/18/2017,MHalbur,Pretreatment,525100,4270380,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525110,4270380,1,0,1,NA
5/18/2017,MHalbur,Pretreatment,525120,4270380,2,0,2,NA
5/18/2017,MHalbur,Pretreatment,525130,4270380,3,0,1,NA
5/18/2017,MHalbur,Pretreatment,525140,4270380,2,0,1,NA
5/18/2017,MHalbur,Pretreatment,525150,4270380,3,0,2,NA
5/18/2017,MHalbur,Pretreatment,525160,4270380,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525170,4270380,2,0,0,NA
5/18/2017,MHalbur,Pretreatment,525180,4270380,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525190,4270380,4,2,1,NA
5/17/2017,MHalbur,Pretreatment,525200,4270380,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525210,4270380,2,0,3,NA
5/17/2017,MHalbur,Pretreatment,525220,4270380,4,0,2,NA
5/17/2017,MHalbur,Pretreatment,525230,4270380,3,0,3,NA
5/17/2017,MHalbur,Pretreatment,525240,4270380,3,0,2,NA
5/17/2017,MHalbur,Pretreatment,525250,4270380,2,0,1,NA
5/17/2017,MHalbur,Pretreatment,525260,4270380,2,0,2,NA
5/17/2017,MHalbur,Pretreatment,525270,4270380,3,0,2,NA
5/17/2017,MHalbur,Pretreatment,525280,4270380,0,0,1,NA
5/17/2017,MHalbur,Pretreatment,525290,4270380,0,0,1,NA
5/17/2017,MHalbur,Pretreatment,525300,4270380,3,0,1,NA
5/17/2017,MHalbur,Pretreatment,525310,4270380,1,0,2,NA
5/17/2017,MHalbur,Pretreatment,525320,4270380,4,0,1,NA
5/17/2017,MHalbur,Pretreatment,525330,4270380,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525340,4270380,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525350,4270380,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525360,4270380,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525370,4270380,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525380,4270380,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525390,4270380,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525400,4270380,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525410,4270380,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525420,4270380,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525430,4270380,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525440,4270380,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525040,4270370,5,0,0,NA
5/18/2017,MHalbur,Pretreatment,525050,4270370,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525060,4270370,2,0,0,NA
5/18/2017,MHalbur,Pretreatment,525070,4270370,0,0,0,NA
5/18/2017,MHalbur,Pretreatment,525080,4270370,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525090,4270370,1,0,1,NA
5/18/2017,MHalbur,Pretreatment,525100,4270370,1,0,2,NA
5/18/2017,MHalbur,Pretreatment,525110,4270370,1,0,1,NA
5/18/2017,MHalbur,Pretreatment,525120,4270370,3,0,0,NA
5/18/2017,MHalbur,Pretreatment,525130,4270370,2,0,0,NA
5/18/2017,MHalbur,Pretreatment,525140,4270370,3,0,1,NA
5/18/2017,MHalbur,Pretreatment,525150,4270370,2,0,0,NA
5/18/2017,MHalbur,Pretreatment,525160,4270370,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525170,4270370,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525180,4270370,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525190,4270370,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525200,4270370,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525210,4270370,2,1,2,NA
5/17/2017,MHalbur,Pretreatment,525220,4270370,6,0,3,NA
5/17/2017,MHalbur,Pretreatment,525230,4270370,4,0,3,NA
5/17/2017,MHalbur,Pretreatment,525240,4270370,4,0,2,NA
5/17/2017,MHalbur,Pretreatment,525250,4270370,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525260,4270370,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525270,4270370,1,0,2,NA
5/17/2017,MHalbur,Pretreatment,525280,4270370,0,0,1,NA
5/17/2017,MHalbur,Pretreatment,525290,4270370,0,0,1,NA
5/17/2017,MHalbur,Pretreatment,525300,4270370,1,0,1,NA
5/17/2017,MHalbur,Pretreatment,525310,4270370,1,0,2,NA
5/17/2017,MHalbur,Pretreatment,525320,4270370,4,0,2,NA
5/17/2017,MHalbur,Pretreatment,525330,4270370,0,0,1,NA
5/17/2017,MHalbur,Pretreatment,525340,4270370,3,0,3,NA
5/17/2017,MHalbur,Pretreatment,525350,4270370,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525360,4270370,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525370,4270370,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525380,4270370,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525390,4270370,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525400,4270370,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525410,4270370,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525420,4270370,1,0,0,NA
5/17/2017,MHalbur,Pretreatment,525430,4270370,4,0,0,NA
5/17/2017,MHalbur,Pretreatment,525440,4270370,2,0,0,NA
5/17/2017,MHalbur,Pretreatment,525450,4270370,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525030,4270360,5,0,0,NA
5/18/2017,MHalbur,Pretreatment,525040,4270360,4,0,0,NA
5/18/2017,MHalbur,Pretreatment,525050,4270360,6,0,0,NA
5/18/2017,MHalbur,Pretreatment,525060,4270360,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525070,4270360,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525080,4270360,1,0,2,NA
5/18/2017,MHalbur,Pretreatment,525090,4270360,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525100,4270360,2,0,2,NA
5/18/2017,MHalbur,Pretreatment,525110,4270360,1,0,1,NA
5/18/2017,MHalbur,Pretreatment,525120,4270360,4,0,2,NA
5/18/2017,MHalbur,Pretreatment,525130,4270360,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525140,4270360,1,0,0,NA
5/18/2017,MHalbur,Pretreatment,525150,4270360,2,0,0,NA
5/18/2017,MHalbur,Pretreatment,525160,4270360,2,0,2,NA
5/18/2017,MHalbur,Pretreatment,525170,4270360,2,0,0,NA
5/18/2017,MHalbur,Pretreatment,525180,4270360,5,0,2,NA
5/17/2017,MHalbur,Pretreatment,525190,4270360,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525200,4270360,4,0,1,NA
5/17/2017,MHalbur,Pretreatment,525210,4270360,2,1,1,NA
5/17/2017,MHalbur,Pretreatment,525220,4270360,3,0,0,NA
5/17/2017,MHalbur,Pretreatment,525230,4270360,2,0,0,NA
